rawName,canonicalName,confidenceScore,resolutionMethod
Capx-AI,Capx-AI,100.0,PASSTHROUGH
CardoAI,CardoAI,100.0,PASSTHROUGH
CasperLabs,CasperLabs,100.0,PASSTHROUGH
Castor6,Castor6,100.0,PASSTHROUGH
CausalAI,CausalAI,100.0,PASSTHROUGH
CausalAILab,CausalAILab,100.0,PASSTHROUGH
CaviraOSS,CaviraOSS,100.0,PASSTHROUGH
CelaDaniel,CelaDaniel,100.0,PASSTHROUGH
CelestoAI,CelestoAI,100.0,PASSTHROUGH
Cerlancism,Cerlancism,100.0,PASSTHROUGH
CharHubAI,CharHubAI,100.0,PASSTHROUGH
ChatLunaLab,ChatLunaLab,100.0,PASSTHROUGH
Chevey339,Chevey339,100.0,PASSTHROUGH
ChicagoHAI,ChicagoHAI,100.0,PASSTHROUGH
ChickenAI,ChickenAI,100.0,PASSTHROUGH
ClareAI,ClareAI,100.0,PASSTHROUGH
Claw-Company,Claw-Company,100.0,PASSTHROUGH
Clearbox-AI,Clearbox-AI,100.0,PASSTHROUGH
Cloud-Code-AI,Cloud-Code-AI,100.0,PASSTHROUGH
Cocoon-AI,Cocoon-AI,100.0,PASSTHROUGH
CodeAnt-AI,CodeAnt-AI,100.0,PASSTHROUGH
Codebugged-Research,Codebugged-Research,100.0,PASSTHROUGH
CoderSJX,CoderSJX,100.0,PASSTHROUGH
Cohere AI,Cohere,80.0,FUZZY_RESOLVED
Colin-XKL,Colin-XKL,100.0,PASSTHROUGH
CommonstackAI,CommonstackAI,100.0,PASSTHROUGH
ComposioHQ,ComposioHQ,100.0,PASSTHROUGH
ConnectAI-E,ConnectAI-E,100.0,PASSTHROUGH
Context-Engine-AI,Context-Engine-AI,100.0,PASSTHROUGH
ContextualAI,ContextualAI,100.0,PASSTHROUGH
ContinualAI,ContinualAI,100.0,PASSTHROUGH
Continuum-AI-Corp,Continuum-AI-Corp,100.0,PASSTHROUGH
CopilotKit,CopilotKit,100.0,PASSTHROUGH
CoplayDev,CoplayDev,100.0,PASSTHROUGH
Cormanz,Cormanz,100.0,PASSTHROUGH
CraftOS-dev,CraftOS-dev,100.0,PASSTHROUGH
CrewAI,CrewAI,100.0,PASSTHROUGH
Cusp-AI,Cusp-AI,100.0,PASSTHROUGH
CyberAgentAILab,CyberAgentAILab,100.0,PASSTHROUGH
DEEIX-AI,DEEIX-AI,100.0,PASSTHROUGH
DMindAI,DMindAI,100.0,PASSTHROUGH
Dakera-AI,Dakera-AI,100.0,PASSTHROUGH
Dao-AILab,Dao-AILab,100.0,PASSTHROUGH
Data-Centric-AI-Community,Data-Centric-AI-Community,100.0,PASSTHROUGH
DataScienceUIBK,DataScienceUIBK,100.0,PASSTHROUGH
Dataherald,Dataherald,100.0,PASSTHROUGH
DeHor-Labs,DeHor-Labs,100.0,PASSTHROUGH
Deci-AI,Deci-AI,100.0,PASSTHROUGH
Deep-Brainz,Deep-Brainz,100.0,PASSTHROUGH
DeepInsight-AI,DeepInsight-AI,100.0,PASSTHROUGH
DerwenAI,DerwenAI,100.0,PASSTHROUGH
Deuz-AI,Deuz-AI,100.0,PASSTHROUGH
Dicklesworthstone,Dicklesworthstone,100.0,PASSTHROUGH
Docta-ai,Docta-ai,100.0,PASSTHROUGH
Dong90,Dong90,100.0,PASSTHROUGH
Dream-AI-4444,Dream-AI-4444,100.0,PASSTHROUGH
DyadLang,DyadLang,100.0,PASSTHROUGH
EE,EE,100.0,PASSTHROUGH
ENTERPILOT,ENTERPILOT,100.0,PASSTHROUGH
EXXETA,EXXETA,100.0,PASSTHROUGH
Egonex-AI,Egonex-AI,100.0,PASSTHROUGH
EightfoldAI,EightfoldAI,100.0,PASSTHROUGH
EleutherAI,EleutherAI,100.0,PASSTHROUGH
EmbeddedLLM,EmbeddedLLM,100.0,PASSTHROUGH
EmergenceAI,EmergenceAI,100.0,PASSTHROUGH
Emmi-AI,Emmi-AI,100.0,PASSTHROUGH
EndexAI,EndexAI,100.0,PASSTHROUGH
Entelligence-AI,Entelligence-AI,100.0,PASSTHROUGH
Epistates,Epistates,100.0,PASSTHROUGH
ErgoAI,ErgoAI,100.0,PASSTHROUGH
Ethara-Ai,Ethara-Ai,100.0,PASSTHROUGH
EticaAI,EticaAI,100.0,PASSTHROUGH
EvanZhouDev,EvanZhouDev,100.0,PASSTHROUGH
EverMind-AI,EverMind-AI,100.0,PASSTHROUGH
Explore-AI,Explore-AI,100.0,PASSTHROUGH
ExtensityAI,ExtensityAI,100.0,PASSTHROUGH
Extrality,Extrality,100.0,PASSTHROUGH
FB208,FB208,100.0,PASSTHROUGH
FailproofAI,FailproofAI,100.0,PASSTHROUGH
Falcons-ai,Falcons-ai,100.0,PASSTHROUGH
Fast-Editor,Fast-Editor,100.0,PASSTHROUGH
FederatedAI,FederatedAI,100.0,PASSTHROUGH
FellouAI,FellouAI,100.0,PASSTHROUGH
FirmAI-Research,FirmAI-Research,100.0,PASSTHROUGH
FlagAI-Open,FlagAI-Open,100.0,PASSTHROUGH
Flame-Code-VLM,Flame-Code-VLM,100.0,PASSTHROUGH
FlamxGames,FlamxGames,100.0,PASSTHROUGH
FlowiseAI,FlowiseAI,100.0,PASSTHROUGH
FocoosAI,FocoosAI,100.0,PASSTHROUGH
Forethought-Technologies,Forethought-Technologies,100.0,PASSTHROUGH
Forgemind-git,Forgemind-git,100.0,PASSTHROUGH
Fosowl,Fosowl,100.0,PASSTHROUGH
FoundryAI,FoundryAI,100.0,PASSTHROUGH
FranciscoMoretti,FranciscoMoretti,100.0,PASSTHROUGH
FreedomIntelligence,FreedomIntelligence,100.0,PASSTHROUGH
FrontisAI,FrontisAI,100.0,PASSTHROUGH
FunnyWolf,FunnyWolf,100.0,PASSTHROUGH
GAIMJKP,GAIMJKP,100.0,PASSTHROUGH
GAPVelocityAI,GAPVelocityAI,100.0,PASSTHROUGH
GH05TCREW,GH05TCREW,100.0,PASSTHROUGH
GSK-AI,GSK-AI,100.0,PASSTHROUGH
Gabriella439,Gabriella439,100.0,PASSTHROUGH
Galsenaicommunity,Galsenaicommunity,100.0,PASSTHROUGH
Gauntlet-AI,Gauntlet-AI,100.0,PASSTHROUGH
GeminiGenAI,GeminiGenAI,100.0,PASSTHROUGH
GenAI-Security-Project,GenAI-Security-Project,100.0,PASSTHROUGH
Genesis-Embodied-AI,Genesis-Embodied-AI,100.0,PASSTHROUGH
Gitlawb,Gitlawb,100.0,PASSTHROUGH
GizClaw,GizClaw,100.0,PASSTHROUGH
GlobalAICommunity,GlobalAICommunity,100.0,PASSTHROUGH
GoodAI,GoodAI,100.0,PASSTHROUGH
GoodStartLabs,GoodStartLabs,100.0,PASSTHROUGH
GooeyAI,GooeyAI,100.0,PASSTHROUGH
Google DeepMind Ltd,Google DeepMind,88.23529411764706,FUZZY_RESOLVED
Google-Cloud-AI,Google-Cloud-AI,100.0,PASSTHROUGH
Google-Health,Google-Health,100.0,PASSTHROUGH
GoogleCloudPlatform,GoogleCloudPlatform,100.0,PASSTHROUGH
Govcraft,Govcraft,100.0,PASSTHROUGH
Graphlet-AI,Graphlet-AI,100.0,PASSTHROUGH
Green-PT,Green-PT,100.0,PASSTHROUGH
GritinAI,GritinAI,100.0,PASSTHROUGH
Groq Inc.,Groq,90.0,RULE_NORMALIZED
HBAI-Ltd,HBAI-Ltd,100.0,PASSTHROUGH
HFAiLab,HFAiLab,100.0,PASSTHROUGH
HKU-MedAI,HKU-MedAI,100.0,PASSTHROUGH
HSV-AI,HSV-AI,100.0,PASSTHROUGH
HacktronAI,HacktronAI,100.0,PASSTHROUGH
HaltiaAI,HaltiaAI,100.0,PASSTHROUGH
HanaokaYuzu,HanaokaYuzu,100.0,PASSTHROUGH
HavocAI,HavocAI,100.0,PASSTHROUGH
Helicone,Helicone,100.0,PASSTHROUGH
Helmholtz-AI-Energy,Helmholtz-AI-Energy,100.0,PASSTHROUGH
HelpingAI,HelpingAI,100.0,PASSTHROUGH
HiDream-ai,HiDream-ai,100.0,PASSTHROUGH
HimalayaAI,HimalayaAI,100.0,PASSTHROUGH
Houseofmvps,Houseofmvps,100.0,PASSTHROUGH
HowieHwong,HowieHwong,100.0,PASSTHROUGH
HugeCatLab,HugeCatLab,100.0,PASSTHROUGH
HuggingFace Inc,HuggingFace Inc,100.0,PASSTHROUGH
HumanCompatibleAI,HumanCompatibleAI,100.0,PASSTHROUGH
HumeAI,HumeAI,100.0,PASSTHROUGH
HydroXai,HydroXai,100.0,PASSTHROUGH
Hypogenic-AI,Hypogenic-AI,100.0,PASSTHROUGH
IAHispano,IAHispano,100.0,PASSTHROUGH
IBM-SkillsBuild-AI-Builders-Challenge,IBM-SkillsBuild-AI-Builders-Challenge,100.0,PASSTHROUGH
IITGuwahati-AI,IITGuwahati-AI,100.0,PASSTHROUGH
IRISX-AI,IRISX-AI,100.0,PASSTHROUGH
Idem-AI,Idem-AI,100.0,PASSTHROUGH
ImagineAILab,ImagineAILab,100.0,PASSTHROUGH
Improbable-AI,Improbable-AI,100.0,PASSTHROUGH
IndonesiaAI,IndonesiaAI,100.0,PASSTHROUGH
Infini-AI-Lab,Infini-AI-Lab,100.0,PASSTHROUGH
InfinitiBit,InfinitiBit,100.0,PASSTHROUGH
InflectionAI,Inflection AI,80.0,FUZZY_RESOLVED
Infrasys-AI,Infrasys-AI,100.0,PASSTHROUGH
InftyAI,InftyAI,100.0,PASSTHROUGH
InfuseAI,InfuseAI,100.0,PASSTHROUGH
Integuru-AI,Integuru-AI,100.0,PASSTHROUGH
Intelligent-Internet,Intelligent-Internet,100.0,PASSTHROUGH
Intellindust-AI-Lab,Intellindust-AI-Lab,100.0,PASSTHROUGH
InterviewReady,InterviewReady,100.0,PASSTHROUGH
Ironclad,Ironclad,100.0,PASSTHROUGH
IvanCampos,IvanCampos,100.0,PASSTHROUGH
IvanMurzak,IvanMurzak,100.0,PASSTHROUGH
JPeetz,JPeetz,100.0,PASSTHROUGH
JaidedAI,JaidedAI,100.0,PASSTHROUGH
Javis603,Javis603,100.0,PASSTHROUGH
JerryZLiu,JerryZLiu,100.0,PASSTHROUGH
JetBrains,JetBrains,100.0,PASSTHROUGH
JetinAI,JetinAI,100.0,PASSTHROUGH
Johell1NS,Johell1NS,100.0,PASSTHROUGH
JohnMachado11,JohnMachado11,100.0,PASSTHROUGH
Josh-XT,Josh-XT,100.0,PASSTHROUGH
JuliusBrussee,JuliusBrussee,100.0,PASSTHROUGH
JushBJJ,JushBJJ,100.0,PASSTHROUGH
KAIKAKU-AI,KAIKAKU-AI,100.0,PASSTHROUGH
KAIST-Visual-AI-Group,KAIST-Visual-AI-Group,100.0,PASSTHROUGH
KUIS-AI,KUIS-AI,100.0,PASSTHROUGH
KaliberAI,KaliberAI,100.0,PASSTHROUGH
Karovia,Karovia,100.0,PASSTHROUGH
Kartavya-AI,Kartavya-AI,100.0,PASSTHROUGH
Kavia-ai,Kavia-ai,100.0,PASSTHROUGH
Kiln-AI,Kiln-AI,100.0,PASSTHROUGH
KlaatAI,KlaatAI,100.0,PASSTHROUGH
Klavis-AI,Klavis-AI,100.0,PASSTHROUGH
KlingAIResearch,KlingAIResearch,100.0,PASSTHROUGH
KolosalAI,KolosalAI,100.0,PASSTHROUGH
Krain-AI,Krain-AI,100.0,PASSTHROUGH
KudoAI,KudoAI,100.0,PASSTHROUGH
Kurama622,Kurama622,100.0,PASSTHROUGH
Kurrawong,Kurrawong,100.0,PASSTHROUGH
KylinMountain,KylinMountain,100.0,PASSTHROUGH
LAION-AI,LAION-AI,100.0,PASSTHROUGH
LG-AI-EXAONE,LG-AI-EXAONE,100.0,PASSTHROUGH
Lamatic,Lamatic,100.0,PASSTHROUGH
LambdaTest,LambdaTest,100.0,PASSTHROUGH
Lap-Platform,Lap-Platform,100.0,PASSTHROUGH
Leading-AI-IO,Leading-AI-IO,100.0,PASSTHROUGH
Lelapa-AI,Lelapa-AI,100.0,PASSTHROUGH
Leonardo-Interactive,Leonardo-Interactive,100.0,PASSTHROUGH
LettuceAI,LettuceAI,100.0,PASSTHROUGH
Lexsi-Labs,Lexsi-Labs,100.0,PASSTHROUGH
Libertai,Libertai,100.0,PASSTHROUGH
Libr-AI,Libr-AI,100.0,PASSTHROUGH
LibreChat-AI,LibreChat-AI,100.0,PASSTHROUGH
Lightning-AI,Lightning-AI,100.0,PASSTHROUGH
Lightning-Universe,Lightning-Universe,100.0,PASSTHROUGH
LinkSoul-AI,LinkSoul-AI,100.0,PASSTHROUGH
Liquid4All,Liquid4All,100.0,PASSTHROUGH
Locofy,Locofy,100.0,PASSTHROUGH
Luce-Org,Luce-Org,100.0,PASSTHROUGH
LucknowAI,LucknowAI,100.0,PASSTHROUGH
Lux-AI-Challenge,Lux-AI-Challenge,100.0,PASSTHROUGH
LykosAI,LykosAI,100.0,PASSTHROUGH
MCP-UI-Org,MCP-UI-Org,100.0,PASSTHROUGH
MHubAI,MHubAI,100.0,PASSTHROUGH
MI2DataLab,MI2DataLab,100.0,PASSTHROUGH
MLSysOps,MLSysOps,100.0,PASSTHROUGH
MLT-OSS,MLT-OSS,100.0,PASSTHROUGH
MOV-AI,MOV-AI,100.0,PASSTHROUGH
MSU-AI,MSU-AI,100.0,PASSTHROUGH
MaoXiaoYuZ,MaoXiaoYuZ,100.0,PASSTHROUGH
Marker-Inc-Korea,Marker-Inc-Korea,100.0,PASSTHROUGH
MasterAI-EAM,MasterAI-EAM,100.0,PASSTHROUGH
MatrAIx-ai,MatrAIx-ai,100.0,PASSTHROUGH
MatrixAI,MatrixAI,100.0,PASSTHROUGH
MatthewZMD,MatthewZMD,100.0,PASSTHROUGH
Meet-Miyani,Meet-Miyani,100.0,PASSTHROUGH
MeetKai,MeetKai,100.0,PASSTHROUGH
MemMachine,MemMachine,100.0,PASSTHROUGH
MemPalace,MemPalace,100.0,PASSTHROUGH
MemTensor,MemTensor,100.0,PASSTHROUGH
MemoriLabs,MemoriLabs,100.0,PASSTHROUGH
Memories-ai-labs,Memories-ai-labs,100.0,PASSTHROUGH
Meridiona,Meridiona,100.0,PASSTHROUGH
Mesh-LLM,Mesh-LLM,100.0,PASSTHROUGH
MicrosoftDocs,Microsoft,81.81818181818181,FUZZY_RESOLVED
Minara-AI,Minara-AI,100.0,PASSTHROUGH
Mindful-AI-Research,Mindful-AI-Research,100.0,PASSTHROUGH
MiniAiLive,MiniAiLive,100.0,PASSTHROUGH
Mintplex-Labs,Mintplex-Labs,100.0,PASSTHROUGH
Mistral-AI,Mistral-AI,100.0,PASSTHROUGH
MobAI-App,MobAI-App,100.0,PASSTHROUGH
ModelCloud,ModelCloud,100.0,PASSTHROUGH
ModelEngine-Group,ModelEngine-Group,100.0,PASSTHROUGH
MolecularAI,MolecularAI,100.0,PASSTHROUGH
MonlamAI,MonlamAI,100.0,PASSTHROUGH
MontrealAI,MontrealAI,100.0,PASSTHROUGH
MoonshotAI,MoonshotAI,100.0,PASSTHROUGH
MorDavid,MorDavid,100.0,PASSTHROUGH
MoroccoAI,MoroccoAI,100.0,PASSTHROUGH
NPC-Worldwide,NPC-Worldwide,100.0,PASSTHROUGH
NUS-HPC-AI-Lab,NUS-HPC-AI-Lab,100.0,PASSTHROUGH
NVIDIA-AI-Blueprints,NVIDIA-AI-Blueprints,100.0,PASSTHROUGH
NVIDIA-AI-IOT,NVIDIA-AI-IOT,100.0,PASSTHROUGH
NVIDIAAICITYCHALLENGE,NVIDIAAICITYCHALLENGE,100.0,PASSTHROUGH
NVISOsecurity,NVISOsecurity,100.0,PASSTHROUGH
NadirRouter,NadirRouter,100.0,PASSTHROUGH
NanmiCoder,NanmiCoder,100.0,PASSTHROUGH
Nano-Collective,Nano-Collective,100.0,PASSTHROUGH
NanoNets,NanoNets,100.0,PASSTHROUGH
NapthaAI,NapthaAI,100.0,PASSTHROUGH
NaryaAI,NaryaAI,100.0,PASSTHROUGH
NativeMindBrowser,NativeMindBrowser,100.0,PASSTHROUGH
Natively-AI-assistant,Natively-AI-assistant,100.0,PASSTHROUGH
Nayjest,Nayjest,100.0,PASSTHROUGH
NbAiLab,NbAiLab,100.0,PASSTHROUGH
NeoLabHQ,NeoLabHQ,100.0,PASSTHROUGH
NeonGeckoCom,NeonGeckoCom,100.0,PASSTHROUGH
Neph0s,Neph0s,100.0,PASSTHROUGH
Netflix,Netflix,100.0,PASSTHROUGH
NeumTry,NeumTry,100.0,PASSTHROUGH
NeurAI-Lab,NeurAI-Lab,100.0,PASSTHROUGH
NevaMind-AI,NevaMind-AI,100.0,PASSTHROUGH
NexaAI,NexaAI,100.0,PASSTHROUGH
Nexis-Network,Nexis-Network,100.0,PASSTHROUGH
NicholasSpisak,NicholasSpisak,100.0,PASSTHROUGH
Nikita-Filonov,Nikita-Filonov,100.0,PASSTHROUGH
NimbleBoxAI,NimbleBoxAI,100.0,PASSTHROUGH
NirDiamant,NirDiamant,100.0,PASSTHROUGH
NisaarAgharia,NisaarAgharia,100.0,PASSTHROUGH
NitroRCr,NitroRCr,100.0,PASSTHROUGH
NolanoOrg,NolanoOrg,100.0,PASSTHROUGH
NotPunchnox,NotPunchnox,100.0,PASSTHROUGH
NousResearch,NousResearch,100.0,PASSTHROUGH
NovaSearch-Team,NovaSearch-Team,100.0,PASSTHROUGH
NovelAI,NovelAI,100.0,PASSTHROUGH
OEvortex,OEvortex,100.0,PASSTHROUGH
OPPO-PersonalAI,OPPO-PersonalAI,100.0,PASSTHROUGH
OSCC-Project,OSCC-Project,100.0,PASSTHROUGH
OWASP,OWASP,100.0,PASSTHROUGH
OcularEngineering,OcularEngineering,100.0,PASSTHROUGH
Onelevenvy,Onelevenvy,100.0,PASSTHROUGH
Ontos-AI,Ontos-AI,100.0,PASSTHROUGH
Open-AI,OpenAI,92.3076923076923,FUZZY_RESOLVED
Open-LLM-VTuber,Open-LLM-VTuber,100.0,PASSTHROUGH
Open-Source-Legal,Open-Source-Legal,100.0,PASSTHROUGH
"OpenAI, Inc.",OpenAI,90.0,RULE_NORMALIZED
OpenAI-GPT,OpenAI,75.0,FUZZY_RESOLVED
OpenAccess-AI-Collective,OpenAccess-AI-Collective,100.0,PASSTHROUGH
OpenAdaptAI,OpenAdaptAI,100.0,PASSTHROUGH
OpenBMB,OpenBMB,100.0,PASSTHROUGH
OpenCSGs,OpenCSGs,100.0,PASSTHROUGH
OpenNyAI,OpenAI,85.71428571428572,FUZZY_RESOLVED
OpenPipe,OpenPipe,100.0,PASSTHROUGH
OpenRouterTeam,OpenRouterTeam,100.0,PASSTHROUGH
OptimaiNetwork,OptimaiNetwork,100.0,PASSTHROUGH
Optimal-AI,Optimal-AI,100.0,PASSTHROUGH
OptopiaLabs,OptopiaLabs,100.0,PASSTHROUGH
Opus-AI,Opus-AI,100.0,PASSTHROUGH
Organized-AI,Organized-AI,100.0,PASSTHROUGH
OrionStarAI,OrionStarAI,100.0,PASSTHROUGH
OthersideAI,OthersideAI,100.0,PASSTHROUGH
OtterMind,OtterMind,100.0,PASSTHROUGH
Oxen-AI,OpenAI,76.92307692307692,FUZZY_RESOLVED
PIN-AI,PIN-AI,100.0,PASSTHROUGH
Paca-AI,Paca-AI,100.0,PASSTHROUGH
PalabraAI,PalabraAI,100.0,PASSTHROUGH
Palm1r,Palm1r,100.0,PASSTHROUGH
ParisNeo,ParisNeo,100.0,PASSTHROUGH
Passiolife,Passiolife,100.0,PASSTHROUGH
